,id,BoxOffice
519,neruda_2016,938900.0
520,ringu,
521,blue_ruin,258100.00000000003
522,seagulls_laughter,
523,lavventura,
524,belle_epoque,943500.0
525,big_gold_brick,
526,windtalkers,40900000.0
527,whats_up_doc,
528,kill_list_2011,26300.0
529,gueros,
530,10009254-shutter,25900000.0
531,1003075-brewsters_millions,
532,1006299-dressed_to_kill,
533,a_beautiful_day_in_the_neighborhood,61700000.0
534,crazies,
535,milton_glaser_to_inform_and_delight,
536,we_steal_secrets_the_story_of_wikileaks_2013,158900.0
537,suburra_2015,
538,pink_panther_strikes_again,
539,jeremiah_johnson,
540,kirk_camerons_saving_christmas,2800000.0
541,the_flying_swords_of_dragon_gate,127700.0
542,barney_thomson,
543,the_british_guide_to_showing_off,
544,paddleton,
545,afterglow,2500000.0
546,dead_of_winter,2200000.0
547,obit,313300.0
548,bullet_head,
549,graffiti_bridge,4200000.0
550,shipping_news,11400000.0
551,hellions,
552,time_2020,
553,sarah_palin_you_betcha,10500.0
554,ice_pirates,
555,all_the_right_moves,
556,lx_2048,
557,1017502-revenge,15100000.0
558,the_blob_1988,7800000.0
559,swat,116600000.0
560,opportunists,581100.0
561,copying_beethoven,352800.0
562,1175072-license_to_wed,43800000.0
563,bounce,36800000.0
564,inferno1980,
565,mummy_tomb_of_the_dragon_emperor,102200000.0
566,i_do,
567,hide_away,29600.0
568,1158179-devil_and_daniel_johnston,332300.0
569,brighton_rock-2010,223900.0
570,the_love_letter,8300000.000000001
571,10008617-midnight_meat_train,73500.0
572,midway_2019,56800000.0
573,handmaids_tale,1200000.0
574,1098734-loser,15500000.0
575,travelers_and_magicians,505300.0
576,get_smart,130300000.00000001
577,flee,338200.0
578,censor_2021,88000.0
579,the_justice_of_bunny_king,
580,confession_of_a_child_of_the_century,
581,make_up_2020,
582,45_years,4300000.0
583,farming,
584,the-gods-must-be-crazy,30000000.0
585,endless_poetry,64000.0
586,the_monkeys_mask,49000.0
587,killing_me_softly,
588,visual_acoustics_the_modernism_of_julius_shulman,102500.0
589,one_piece_stampede,
590,letters_from_baghdad,307200.0
591,rhinoceros_eyes,
592,lawless_2012,37300000.0
593,daybreakers,30000000.0
594,muppet_treasure_island,34300000.0
595,paul_apostle_of_christ,17500000.0
596,the_valet_2022,
597,arachnophobia,53200000.0
598,last_unicorn,
599,raymond_and_ray,
600,max_keebles_big_move,17300000.0
601,kedi_2017,2800000.0
602,hands_on_a_hard_body,549100.0
603,us_2019,175000000.0
604,do_you_believe,13000000.0
605,beyond_clueless_2014,
606,keanu_2016,20600000.0
607,a_walk_into_the_sea_danny_williams_and_the_warhol_factory,
608,lost_and_delirious,302400.0
609,hollywood_ending,4800000.0
610,1187599-blood_car,
611,the_show_of_shows_100_years_of_vaudeville_circuses_and_carnivals,
612,deuces_wild,6000000.0
613,in_the_aisles,20300.0
614,mean_creek,603900.0
615,switching_channels,8199999.999999999
616,dealt,30400.0
617,heart_and_souls,16399999.999999998
618,just_friends,32600000.0
619,supermensch_the_legend_of_shep_gordon,211800.0
620,julieta_2016,1500000.0
621,the_quiet_one_2019,37000.0
622,crime_story_2021,
623,xmen,157300000.0
624,1010214-hunchback_of_notre_dame,
625,halloween_iii_season_of_the_witch,
626,gay_divorcee,
627,1192245-girls_rock,159300.0
628,side_by_side_2012,28600.0
629,simpatico,902100.0
630,10010760-miss_march,4500000.0
631,no_2012,2300000.0
632,october_baby_2011,5400000.0
633,after_life_2010,
634,grand_theft_parsons,
635,clouds_2020,
636,1093843-mansfield_park,4800000.0
637,waterboy,161500000.0
638,owl_and_the_sparrow,47100.0
639,ordinary_world_2016,
640,love_gilda,624200.0
641,1000121-39_steps,
642,it_all_starts_today,12300.0
643,the_craft_legacy,
644,sorcerers_apprentice,63100000.0
645,once_upon_a_time_in_the_west,
646,summer_04,
647,1016842-prophecy,
648,no_time_to_die_2021,160800000.0
649,stan_and_ollie,5500000.0
650,tootsie,
651,sieranevada,
652,last_winter,32900.0
653,eddie,31400000.0
654,lymelife,
655,surviving_the_game,7700000.0
656,four_weddings_and_a_funeral,49300000.0
657,burn_burn_burn,
658,tokyo_sonata,277300.0
659,break_point,
660,mapplethorpe,91000.0
661,kawasakis_rose_2010,
662,looking_for_eric,55800.0
663,other_music,
664,abel,
665,trudell_2004,21800.0
666,budrus,68400.0
667,lunacy,48000.0
668,the_kid_with_a_bike,20500.0
669,wild_target,117200.0
670,revenge_of_the_nerds,
671,hot_to_trot,6400000.0
672,les_temps_qui_changent,540400.0
673,you_should_have_left,
674,funny_cow,
675,goal_2_living_the_dream,
676,alice_doesnt_live_here_anymore,
677,the_grandmaster,6600000.0
678,the_secret_garden_2020,
679,la_la_land,151100000.0
680,godzilla_king_of_the_monsters,148900.0
681,persian_lessons,
682,halloween_kills,92000000.0
683,1066169-home_for_the_holidays,17000000.0
684,threesome,14000000.0
685,phantom_of_liberty,
686,rick,
687,sleepless_night,2100.0
688,funny_girl,223300.0
689,1157810-evil,15300.0
690,wildlife_2018,1000000.0
691,the_descendants_2011,82600000.0
692,incendies,6900000.0
693,the_beasts,
694,hudson_hawk,16399999.999999998
695,all_together_now_2020,
696,moonwalkers_2016,
697,rmn,46100.0
698,a-small-act,
699,after_midnight_2020,
700,freedom_writers,36600000.0
701,corporate_animals,
702,days_of_being_wild,141900.0
703,in_your_hands,
704,standing_in_the_shadows_of_motown,1600000.0
705,10011262-outrage,286700.0
706,tying_the_knot_2004,37500.0
707,resurrect_dead_the_mystery_of_the_toynbee_tiles,14900.0
708,1193335-deal,57200.0
709,where_the_truth_lies,871500.0
710,the_signal_2014,597400.0
711,45365,
712,peepli-live,754800.0
713,la_nana,549500.0
714,1146673-1146673-stealth,31700000.0
715,jimmys_hall,560300.0
716,10008700-darfur_now,107800.0
717,western_stars,1600000.0
718,jaws_2,
719,star_wars_episode_ii_attack_of_the_clones,310700000.0
720,the_town,92200000.0
721,addicted_to_love,34700000.0
722,othello_1955,
723,mo_money,39500000.0
724,my_country_my_country,33600.0
725,lost_transmissions,
726,even_money,
727,son_of_the_mask,17000000.0
728,untitled,230600.0
729,auntie_mame,
730,simon_killer,21300.0
731,brandon_teena_story,91600.0
732,1976_2022,166000.0
733,x_files_2,21000000.0
734,captain_america_1990,
735,young_black_stallion,6800000.0
736,highlander_endgame,12800000.0
737,clash_of_the_titans,
738,habit,
739,black_christmas_1974,
740,milagro_beanfield_war,12700000.0
741,the_captain_2017,108600.0
742,eat_that_question_frank_zappa_in_his_own_words,353800.0
743,they_live_by_night,
744,dont_look_back_1967,
745,whats_cooking,1000000.0
746,shine,35900000.0
747,jeffrey,3300000.0
748,james_journey_to_jerusalem,63800.0
749,lore,968900.0
750,pale_rider,
751,top_end_wedding,
752,run_this_town,
753,mortdecai,7700000.0
754,american_hardcore,278800.0
755,the-incredible-adventures-of-wallace-gromit,
756,clean_and_sober,8600000.0
757,revolution-9,
758,citizen_kane,977300.0
759,me_myself_and_irene,90600000.0
760,sophies_choice,
761,rollerball_2002,19000000.0
762,cinemania,11300.0
763,carrie,35300000.0
764,the_history_of_future_folk_2012,15900.0
765,pather_panchali,
766,1094723-celebration,1600000.0
767,1074108-101_dalmatians,136200000.0
768,port_of_shadows,
769,crown_vic,2500.0
770,dr_t_and_the_women,13100000.0
771,lower_city,130600.0
772,the_good_old_naughty_days,59200.0
773,a_good_day_to_die_hard,67300000.0
774,from_paris_with_love,24000000.0
775,way_down_east,
776,iron_sky,13600.0
777,dont_think_twice,4400000.0
778,cowboys-angels2003,33700.0
779,halloween_5_the_revenge_of_michael_myers,11200000.0
780,who_invited_them,
781,usual_suspects,22600000.0
782,educating_rita,
783,consecration,536400.0
784,1197120-oss_117_cairo_nest_of_spies,302800.0
785,1152019-good_night_and_good_luck,31500000.0
786,volition,
787,house_of_gucci,53800000.0
788,rio_grande,
789,victoria_2015,65400.00000000001
790,10005403-the_baxter,181900.0
791,touch_2020,
792,dreamscape,
793,im_thinking_of_ending_things,
794,10009526-public_enemies,97000000.0
795,in_the_valley_of_elah,6800000.0
796,cincinnati_kid,
797,chuck_steel_night_of_the_trampires,
798,the_ballad_of_buster_scruggs,
799,wrestling_with_angels_playwright_tony_kushner,24700.0
800,from_up_on_poppy_hill,284700.0
801,table_19,3600000.0
802,concussion_2015,33800000.0
803,mr_harrigans_phone,
804,the_infidel,
805,great_balls_of_fire,13400000.0
806,the_odyssey_2016,
807,dog_2022,61800000.0
808,1017123-raisin_in_the_sun,
809,universal_soldier_day_of_reckoning,5200.0
810,1043923-browning_version,
811,1010939-jason_and_the_argonauts,
812,disclosure,81300000.0
813,finding_fela,
814,the_tale_of_the_princess_kaguya,681100.0
815,secret_of_nimh,
816,1143967-pure,
817,off_and_running_2010,15200.0
818,relaxer,4700.0
819,the_pact_2012,
820,1085404-impostors,2200000.0
821,fiddler_on_the_roof,
822,resurrecting_the_champ,3200000.0
823,elstree_1976,11800.0
824,hair-high,
825,quo_vadis_aida,
826,alamar,61600.0
827,who_we_are_a_chronicle_of_racism_in_america,234200.0
828,cowards_bend_the_knee,22900.0
829,business_of_fancydancing,174700.0
830,nearing_grace,
831,the_beta_test,30200.0
832,resistance_2020,6500.0
833,revenge_of_the_green_dragons,
834,when_comedy_went_to_school,367900.0
835,attenberg_2010,23800.0
836,le_corbeau,36100.0
837,a_somewhat_gentle_man,37500.0
838,the_reports_on_sarah_and_saleem,113800.0
839,jessabelle,
840,across_the_universe,24300000.0
841,chatroom_2010,
842,flintstones_in_viva_rock_vegas,35200000.0
843,among_giants,64400.00000000001
844,costa_brava_lebanon,18700.0
845,dora_and_the_lost_city_of_gold,60500000.0
846,fast_color,74700.0
847,into_the_arms_of_strangers_stories_of_the_kindertransport,374600.0
848,life_just_is_2012,
849,prosperos_books,1100000.0
850,rebel_in_the_rye,376700.0
851,flushed_away,64500000.0
852,millions,6600000.0
853,deck_the_halls,35100000.0
854,live_and_let_die,
855,flight_2012,93700000.0
856,sinister_2012,48100000.0
857,smokey_and_the_bandit,
858,la-doppia-ora,1500000.0
859,star_wars_the_rise_of_skywalker,515200000.00000006
860,devils_own,
861,shes_beautiful_when_shes_angry,420600.0
862,1125480-on_the_run,
863,north_sea_texas,27800.0
864,under_siege,82300000.0
865,witness_for_the_prosecution,
866,the_argument,
867,addams_family,111300000.0
868,the_wanting_mare,
869,dragon_ball_super_broly,30000000.0
870,the_cannibal_club,
871,mortal_kombat,70500000.0
872,ararat,1600000.0
873,1001240-arthur,
874,rambo-first-blood-part-ii,150200000.0
875,chronicles_of_riddick,57600000.0
876,smashed,376000.0
877,bill_and_ted_face_the_music,3400000.0
878,mr_wrong,12800000.0
879,1073315-associate,12800000.0
880,the_weasels_tale,
881,cidade_dos_homens,307100.0
882,the_square_2017,1100000.0
883,town_and_country,6700000.0
884,1006364-dune,
885,karen_2021,
886,great_expectations_1947,
