,name,original_name,popularity,gender,id,known_for_department,adult
191,Al Pacino,Al Pacino,71.23,2,1158,Acting,False
192,Tara Reid,Tara Reid,71.093,1,1234,Acting,False
193,Lauren Cohan,Lauren Cohan,71.019,1,62220,Acting,False
194,Lucy Punch,Lucy Punch,70.918,1,66446,Acting,False
195,Isabela Merced,Isabela Merced,70.63,1,1428070,Acting,False
196,Dominique McElligott,Dominique McElligott,70.516,1,115146,Acting,False
197,Jennifer Morrison,Jennifer Morrison,70.361,1,41421,Acting,False
198,Jon Hamm,Jon Hamm,70.326,2,65717,Acting,False
199,Wang Xingyue,王星越,70.18,2,3157355,Acting,False
200,Mel Gibson,Mel Gibson,70.105,2,2461,Acting,False
201,Joseph Gordon-Levitt,Joseph Gordon-Levitt,70.059,2,24045,Acting,False
202,Russell Crowe,Russell Crowe,70.058,2,934,Acting,False
203,Michael Imperioli,Michael Imperioli,69.978,2,11486,Acting,False
204,Dwayne Johnson,Dwayne Johnson,69.724,2,18918,Acting,False
205,Issey Takahashi,高橋一生,69.666,2,87662,Acting,False
206,Susan Sarandon,Susan Sarandon,69.316,1,4038,Acting,False
207,Zendaya,Zendaya,69.206,1,505710,Acting,False
208,Steve Carell,Steve Carell,69.177,2,4495,Acting,False
209,Tetsushi Tanaka,田中哲司,69.163,2,587661,Acting,False
210,Vincent Cassel,Vincent Cassel,69.06,2,1925,Acting,False
211,Josephine Park,Josephine Park,68.99,1,1476834,Acting,False
212,Kiernan Shipka,Kiernan Shipka,68.931,1,934289,Acting,False
213,Kiyohiko Shibukawa,渋川 清彦,68.91,2,58611,Acting,False
214,Andrew Garfield,Andrew Garfield,68.766,2,37625,Acting,False
215,Mayumi Izuka,飯塚雅弓,68.704,1,65426,Acting,False
216,Emma Roberts,Emma Roberts,68.537,1,34847,Acting,False
217,Kevin Bacon,Kevin Bacon,68.421,2,4724,Acting,False
218,Barry Keoghan,Barry Keoghan,68.375,2,1290466,Acting,False
219,Elliot Page,Elliot Page,68.302,3,27578,Acting,False
220,Keith David,Keith David,68.209,2,65827,Acting,False
221,Alfred Molina,Alfred Molina,68.162,2,658,Acting,False
222,Paul Rudd,Paul Rudd,68.149,2,22226,Acting,False
223,Benjamin Bratt,Benjamin Bratt,68.142,2,4589,Acting,False
224,Rowoon,로운,68.074,2,1613836,Acting,False
225,Cillian Murphy,Cillian Murphy,67.833,2,2037,Acting,False
226,Choi Min-sik,최민식,67.81,2,64880,Acting,False
227,Josh Hartnett,Josh Hartnett,67.802,2,2299,Acting,False
228,Jarred Harper,Jarred Harper,67.768,2,3450482,Acting,False
229,Nao Ômori,大森南朋,67.688,2,58604,Acting,False
230,Mia Goth,Mia Goth,67.636,1,1137824,Acting,False
231,Elle Fanning,Elle Fanning,67.529,1,18050,Acting,False
232,Julia Victoria,Julia Victoria,67.423,1,3775928,Acting,False
233,Sam Elliott,Sam Elliott,67.421,2,16431,Acting,False
234,Orlando Bloom,Orlando Bloom,67.348,2,114,Acting,False
235,Alexander Ludwig,Alexander Ludwig,67.301,2,23498,Acting,False
